prompt_no,connector,sentiment,archive_file,archive_offset,global_offset,n,dimensions,source_embedding_file,source_text_file
168,2,neg,justification_embeddings_float32_part02.npz,14000,30500,146,1536,neg_embed_168_2_2_fin.pkl,neg_lst_168_1.pkl
168,2,pos,justification_embeddings_float32_part02.npz,14146,30646,354,1536,pos_embed_168_2_2_fin.pkl,pos_lst_168_1.pkl
168,3,neg,justification_embeddings_float32_part02.npz,14500,31000,146,1536,neg_embed_168_3_2_fin.pkl,neg_lst_168_1.pkl
168,3,pos,justification_embeddings_float32_part02.npz,14646,31146,354,1536,pos_embed_168_3_2_fin.pkl,pos_lst_168_1.pkl
168,4,neg,justification_embeddings_float32_part02.npz,15000,31500,146,1536,neg_embed_168_4_2_fin.pkl,neg_lst_168_1.pkl
168,4,pos,justification_embeddings_float32_part02.npz,15146,31646,354,1536,pos_embed_168_4_2_fin.pkl,pos_lst_168_1.pkl
168,5,neg,justification_embeddings_float32_part02.npz,15500,32000,146,1536,neg_embed_168_5_2_fin.pkl,neg_lst_168_1.pkl
168,5,pos,justification_embeddings_float32_part02.npz,15646,32146,354,1536,pos_embed_168_5_2_fin.pkl,pos_lst_168_1.pkl
168,6,neg,justification_embeddings_float32_part02.npz,16000,32500,146,1536,neg_embed_168_6_2_fin.pkl,neg_lst_168_1.pkl
168,6,pos,justification_embeddings_float32_part02.npz,16146,32646,354,1536,pos_embed_168_6_2_fin.pkl,pos_lst_168_1.pkl
169,1,neg,justification_embeddings_float32_part03.npz,0,33000,290,1536,neg_embed_169_1_2_fin.pkl,neg_lst_169_1.pkl
169,1,pos,justification_embeddings_float32_part03.npz,290,33290,210,1536,pos_embed_169_1_2_fin.pkl,pos_lst_169_1.pkl
169,2,neg,justification_embeddings_float32_part03.npz,500,33500,290,1536,neg_embed_169_2_2_fin.pkl,neg_lst_169_1.pkl
169,2,pos,justification_embeddings_float32_part03.npz,790,33790,210,1536,pos_embed_169_2_2_fin.pkl,pos_lst_169_1.pkl
169,3,neg,justification_embeddings_float32_part03.npz,1000,34000,290,1536,neg_embed_169_3_2_fin.pkl,neg_lst_169_1.pkl
169,3,pos,justification_embeddings_float32_part03.npz,1290,34290,210,1536,pos_embed_169_3_2_fin.pkl,pos_lst_169_1.pkl
169,4,neg,justification_embeddings_float32_part03.npz,1500,34500,290,1536,neg_embed_169_4_2_fin.pkl,neg_lst_169_1.pkl
169,4,pos,justification_embeddings_float32_part03.npz,1790,34790,210,1536,pos_embed_169_4_2_fin.pkl,pos_lst_169_1.pkl
169,5,neg,justification_embeddings_float32_part03.npz,2000,35000,290,1536,neg_embed_169_5_2_fin.pkl,neg_lst_169_1.pkl
169,5,pos,justification_embeddings_float32_part03.npz,2290,35290,210,1536,pos_embed_169_5_2_fin.pkl,pos_lst_169_1.pkl
169,6,neg,justification_embeddings_float32_part03.npz,2500,35500,290,1536,neg_embed_169_6_2_fin.pkl,neg_lst_169_1.pkl
169,6,pos,justification_embeddings_float32_part03.npz,2790,35790,210,1536,pos_embed_169_6_2_fin.pkl,pos_lst_169_1.pkl
182,1,neg,justification_embeddings_float32_part03.npz,3000,36000,252,1536,neg_embed_182_1_2_fin.pkl,neg_lst_182_1.pkl
