prompt_no,connector,sentiment,embedding_file,text_file,n,dimensions
216,4,pos,pos_embed_216_4_2_fin.pkl,pos_lst_216_1.pkl,353,1536
216,5,pos,pos_embed_216_5_2_fin.pkl,pos_lst_216_1.pkl,353,1536
216,6,pos,pos_embed_216_6_2_fin.pkl,pos_lst_216_1.pkl,353,1536
217,1,pos,pos_embed_217_1_2_fin.pkl,pos_lst_217_1.pkl,169,1536
217,2,pos,pos_embed_217_2_2_fin.pkl,pos_lst_217_1.pkl,169,1536
217,3,pos,pos_embed_217_3_2_fin.pkl,pos_lst_217_1.pkl,169,1536
217,4,pos,pos_embed_217_4_2_fin.pkl,pos_lst_217_1.pkl,169,1536
217,5,pos,pos_embed_217_5_2_fin.pkl,pos_lst_217_1.pkl,169,1536
217,6,pos,pos_embed_217_6_2_fin.pkl,pos_lst_217_1.pkl,169,1536
220,1,pos,pos_embed_220_1_2_fin.pkl,pos_lst_220_1.pkl,365,1536
220,2,pos,pos_embed_220_2_2_fin.pkl,pos_lst_220_1.pkl,365,1536
220,3,pos,pos_embed_220_3_2_fin.pkl,pos_lst_220_1.pkl,365,1536
220,4,pos,pos_embed_220_4_2_fin.pkl,pos_lst_220_1.pkl,365,1536
220,5,pos,pos_embed_220_5_2_fin.pkl,pos_lst_220_1.pkl,365,1536
220,6,pos,pos_embed_220_6_2_fin.pkl,pos_lst_220_1.pkl,365,1536
221,1,pos,pos_embed_221_1_2_fin.pkl,pos_lst_221_1.pkl,193,1536
221,2,pos,pos_embed_221_2_2_fin.pkl,pos_lst_221_1.pkl,193,1536
221,3,pos,pos_embed_221_3_2_fin.pkl,pos_lst_221_1.pkl,193,1536
221,4,pos,pos_embed_221_4_2_fin.pkl,pos_lst_221_1.pkl,193,1536
221,5,pos,pos_embed_221_5_2_fin.pkl,pos_lst_221_1.pkl,193,1536
221,6,pos,pos_embed_221_6_2_fin.pkl,pos_lst_221_1.pkl,193,1536
236,1,pos,pos_embed_236_1_2_fin.pkl,pos_lst_236_1.pkl,170,1536
236,2,pos,pos_embed_236_2_2_fin.pkl,pos_lst_236_1.pkl,170,1536
236,3,pos,pos_embed_236_3_2_fin.pkl,pos_lst_236_1.pkl,170,1536
236,4,pos,pos_embed_236_4_2_fin.pkl,pos_lst_236_1.pkl,170,1536
236,5,pos,pos_embed_236_5_2_fin.pkl,pos_lst_236_1.pkl,170,1536
236,6,pos,pos_embed_236_6_2_fin.pkl,pos_lst_236_1.pkl,170,1536
237,1,pos,pos_embed_237_1_2_fin.pkl,pos_lst_237_1.pkl,281,1536
237,2,pos,pos_embed_237_2_2_fin.pkl,pos_lst_237_1.pkl,281,1536
237,3,pos,pos_embed_237_3_2_fin.pkl,pos_lst_237_1.pkl,281,1536
237,4,pos,pos_embed_237_4_2_fin.pkl,pos_lst_237_1.pkl,281,1536
237,5,pos,pos_embed_237_5_2_fin.pkl,pos_lst_237_1.pkl,281,1536
237,6,pos,pos_embed_237_6_2_fin.pkl,pos_lst_237_1.pkl,281,1536
312,1,pos,pos_embed_312_1_2_fin.pkl,pos_lst_312_1.pkl,322,1536
312,2,pos,pos_embed_312_2_2_fin.pkl,pos_lst_312_1.pkl,322,1536
312,3,pos,pos_embed_312_3_2_fin.pkl,pos_lst_312_1.pkl,322,1536
312,4,pos,pos_embed_312_4_2_fin.pkl,pos_lst_312_1.pkl,322,1536
312,5,pos,pos_embed_312_5_2_fin.pkl,pos_lst_312_1.pkl,322,1536
312,6,pos,pos_embed_312_6_2_fin.pkl,pos_lst_312_1.pkl,322,1536
313,1,pos,pos_embed_313_1_2_fin.pkl,pos_lst_313_1.pkl,228,1536
313,2,pos,pos_embed_313_2_2_fin.pkl,pos_lst_313_1.pkl,228,1536
313,3,pos,pos_embed_313_3_2_fin.pkl,pos_lst_313_1.pkl,228,1536
313,4,pos,pos_embed_313_4_2_fin.pkl,pos_lst_313_1.pkl,228,1536
313,5,pos,pos_embed_313_5_2_fin.pkl,pos_lst_313_1.pkl,228,1536
313,6,pos,pos_embed_313_6_2_fin.pkl,pos_lst_313_1.pkl,228,1536
